aug_id,original_local_index,aug_type,label,e_embed_raw,e_proto_raw,e_pred_raw,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,d_band,d_cov_riemann,d_style,e_total,artifact_gate_pass,soft_weight_v1_1,softar_weight_v1_1,artifact_robust_z,extreme_artifact_outlier,content_score_v1_2,e_base_v1_2,e_total_v1_2,softsafe_weight_v1_2
gaussian_noise_000_00,0,gaussian_noise,1,0.9999379515647888,0.08750045299530029,-0.0,0.8474576473236084,0.8305084705352783,0.7796609997749329,0.2542372941970825,1.9492007493972778,10.360654830932617,0.95848548412323,137.95411682128906,2.042372703552246,1,0.9864406585693359,0.9864406585693359,2.684478521347046,0,0.9661017060279846,2.6898305416107178,1.686842918395996,0.9237288236618042
time_shift_000_01,0,time_shift,1,0.9958283305168152,0.09678155183792114,-0.0,0.49152541160583496,0.7966101765632629,0.9491525292396545,0.9152542352676392,0.36404985189437866,0.0,4.919304438626149e-13,138.0852508544922,1.8389829397201538,1,0.9322034120559692,0.9322034120559692,-1.0487791299819946,0,0.4406779706478119,2.1881356239318848,2.0954179763793945,0.991525411605835
time_crop_000_02,0,time_crop,1,0.9998641610145569,0.08747106790542603,-0.0,0.8305084705352783,0.8983050584793091,0.32203391194343567,0.4576271176338196,0.8825041651725769,151.40066528320312,1.6576579809188843,136.54296875,1.6016948223114014,1,0.7966101765632629,0.7966101765632629,0.17225509881973267,0,0.8813559412956238,2.0999999046325684,1.5305083990097046,0.889830470085144
frequency_mask_000_03,0,frequency_mask,1,0.9998376965522766,0.08929014205932617,-0.0,0.8135592937469482,0.8135592937469482,0.8135592937469482,0.9491525292396545,0.31785422563552856,8.14506721496582,0.24951550364494324,138.02108764648438,2.03389835357666,1,0.9728813767433167,0.9728813767433167,-1.1575764417648315,0,0.8644067645072937,2.5491526126861572,2.4843435287475586,1.0
channel_dropout_000_04,0,channel_dropout,1,0.9997933506965637,0.09036701917648315,-0.0,0.7796609997749329,0.33898305892944336,0.11864406615495682,0.9322034120559692,0.3480958342552185,580.1315307617188,16.25669288635254,224.3424530029297,1.0677965879440308,1,0.43050849437713623,0.43050849437713623,-1.0863531827926636,0,0.8305084705352783,1.6779661178588867,1.6210858821868896,0.8983050584793091
mild_frequency_mixup_000_05,0,mild_frequency_mixup,1,0.9997561573982239,0.08776259422302246,-0.0,0.7627118825912476,0.7457627058029175,0.35593220591545105,1.0,0.29216518998146057,141.30409240722656,1.1125364303588867,156.28501892089844,1.491525411605835,1,0.7288135290145874,0.7288135290145874,-1.2180778980255127,0,0.7796609997749329,1.9355932474136353,1.9355932474136353,0.9745762348175049
gaussian_noise_001_00,1,gaussian_noise,0,0.9999456405639648,0.06284946203231812,-0.0,0.6101694703102112,0.8813559412956238,0.6610169410705566,0.23728813230991364,1.9567903280258179,12.668816566467285,0.9789057374000549,137.47178649902344,1.7118643522262573,1,0.8644067645072937,0.8644067645072937,2.702353000640869,0,0.6101694703102112,2.0779662132263184,1.2855215072631836,0.7711864709854126
time_shift_001_01,1,time_shift,0,0.9866867065429688,0.016511380672454834,-0.025855571031570435,0.016949152573943138,0.8644067645072937,0.9322034120559692,0.7796609997749329,0.5701667070388794,0.0,5.401723447880091e-13,137.77127075195312,1.3813560009002686,1,0.6610169410705566,0.6610169410705566,-0.563344419002533,0,0.016949152573943138,1.2593220472335815,1.120583176612854,0.7033898234367371
time_crop_001_02,1,time_crop,0,0.9997519254684448,0.06833571195602417,-0.0,0.38983049988746643,0.7796609997749329,0.4067796468734741,0.5593220591545105,0.7372021675109863,126.95972442626953,1.3732497692108154,140.80442810058594,1.1864405870437622,1,0.5661017298698425,0.5661017298698425,-0.169951930642128,0,0.37288135290145874,1.488135576248169,1.1602413654327393,0.7203390002250671
frequency_mask_001_03,1,frequency_mask,0,0.99989914894104,0.06472992897033691,-0.0,0.5593220591545105,0.8474576473236084,0.7966101765632629,0.8135592937469482,0.52484130859375,9.064835548400879,0.32512181997299194,137.809814453125,1.7796610593795776,1,0.8779661059379578,0.8779661059379578,-0.6700922250747681,0,0.5254237055778503,2.1355934143066406,1.9365125894546509,0.9830508232116699
channel_dropout_001_04,1,channel_dropout,0,0.9762606620788574,-0.0008795857429504395,-0.11737951636314392,0.0,0.2881355881690979,0.08474576473236084,0.7966101765632629,0.5502787828445435,666.34521484375,15.849841117858887,240.85646057128906,0.2288135588169098,1,0.2135593295097351,0.2135593295097351,-0.6101832985877991,0,0.0,0.1711864471435547,0.15377764403820038,0.5
mild_frequency_mixup_001_05,1,mild_frequency_mixup,0,0.9990461468696594,0.07516360282897949,-0.0,0.33898305892944336,0.7627118825912476,0.49152541160583496,0.8305084705352783,0.4852617084980011,111.51848602294922,1.03240168094635,147.283447265625,1.2118644714355469,1,0.5796610116958618,0.5796610116958618,-0.7633078098297119,0,0.2542372941970825,1.4661016464233398,1.341855764389038,0.8220338821411133
gaussian_noise_002_00,2,gaussian_noise,0,0.9999831914901733,0.10610193014144897,-0.0,1.0,0.22033898532390594,0.6779661178588867,0.11864406615495682,3.341177225112915,12.302001953125,0.8171229362487793,246.21435546875,1.7881356477737427,1,0.891525387763977,0.891525387763977,5.962782859802246,1,1.0,2.693220376968384,1.5063775777816772,0.0
time_shift_002_01,2,time_shift,0,0.9973167181015015,0.09182381629943848,-0.0,0.5254237055778503,0.23728813230991364,1.0,0.2881355881690979,1.8042742013931274,0.0,3.5210739489019427e-13,246.04812622070312,1.6440678834915161,1,0.8237287998199463,0.8237287998199463,2.3431556224823,0,0.4576271176338196,2.1050848960876465,1.3558173179626465,0.8389830589294434
time_crop_002_02,2,time_crop,0,0.9998977184295654,0.10775631666183472,-0.0,0.9830508232116699,0.2711864411830902,0.33898305892944336,0.22033898532390594,2.0916764736175537,141.52371215820312,1.6769987344741821,241.5799560546875,1.4576270580291748,1,0.7152542471885681,0.7152542471885681,3.020029306411743,0,0.9830508232116699,2.1491527557373047,1.3113473653793335,0.7966101765632629
frequency_mask_002_03,2,frequency_mask,0,0.9989386796951294,0.11020392179489136,-0.0,0.7118644118309021,0.016949152573943138,0.1525423675775528,0.33898305892944336,1.657715082168579,588.07421875,3.1185946464538574,305.5967102050781,0.8728813529014587,1,0.3627118468284607,0.3627118468284607,1.997987985610962,0,0.6779661178588867,1.4118643999099731,0.9452312588691711,0.6271186470985413
channel_dropout_002_04,2,channel_dropout,0,0.9996436238288879,0.10920494794845581,-0.0,0.8813559412956238,0.050847455859184265,0.18644067645072937,0.32203391194343567,1.66801917552948,551.4049682617188,14.949951171875,304.06829833984375,1.0932203531265259,1,0.4576271176338196,0.4576271176338196,2.0222556591033936,0,0.8135592937469482,1.625423789024353,1.074432611465454,0.6864407062530518
mild_frequency_mixup_002_05,2,mild_frequency_mixup,0,0.9998545050621033,0.10490721464157104,-0.0,0.9491525292396545,0.18644067645072937,0.38983049988746643,0.3050847351551056,1.6989182233810425,132.65911865234375,1.1164727210998535,252.65940856933594,1.4322034120559692,1,0.6745762825012207,0.6745762825012207,2.095027208328247,0,0.9322034120559692,2.0728814601898193,1.3526428937911987,0.8305084705352783
gaussian_noise_003_00,3,gaussian_noise,1,0.9999675154685974,0.08459395170211792,-0.0,0.9661017060279846,0.694915235042572,0.7288135886192322,0.16949152946472168,2.3035545349121094,11.655406951904297,0.9931719303131104,162.5235595703125,2.042372941970825,1,1.0,1.0,3.5190324783325195,0,0.9491525292396545,2.5644068717956543,1.499526023864746,0.8728813529014587
time_shift_003_01,3,time_shift,1,0.9986855983734131,0.08958995342254639,-0.0,0.6440678238868713,0.7288135886192322,0.9830508232116699,0.5423728823661804,0.7389154434204102,0.0,4.523837359403371e-13,162.1767120361328,1.991525411605835,1,0.9593220353126526,0.9593220353126526,-0.16591691970825195,0,0.5423728823661804,2.286440849304199,1.7632722854614258,0.9661017060279846
time_crop_003_02,3,time_crop,1,0.9999346733093262,0.08515596389770508,-0.0,0.9152542352676392,0.6779661178588867,0.5593220591545105,0.49152541160583496,0.8142041563987732,48.79044723510742,1.5552798509597778,167.16854858398438,1.8135592937469482,1,0.9050847291946411,0.9050847291946411,0.011398792266845703,0,0.9152542352676392,2.3050849437713623,1.7190463542938232,0.9406780004501343
frequency_mask_003_03,3,frequency_mask,1,0.9997301697731018,0.08560723066329956,-0.0,0.7288135886192322,0.7118644118309021,0.5932203531265259,0.6440678238868713,0.7013570070266724,22.978065490722656,0.8325428366661072,162.4239501953125,1.6779661178588867,1,0.8508474230766296,0.8508474230766296,-0.25437241792678833,0,0.6440678238868713,2.027118682861328,1.6663602590560913,0.9067796468734741
channel_dropout_003_04,3,channel_dropout,1,0.999785840511322,0.08685839176177979,-0.0,0.7966101765632629,0.4067796468734741,0.1355932205915451,0.5932203531265259,0.7208637595176697,579.5445556640625,15.823234558105469,218.2971954345703,1.1355931758880615,1,0.498305082321167,0.498305082321167,-0.20843122899532318,0,0.7627118825912476,1.5796610116958618,1.2583740949630737,0.7627118825912476
mild_frequency_mixup_003_05,3,mild_frequency_mixup,1,0.9998819828033447,0.08582788705825806,-0.0,0.8983050584793091,0.6101694703102112,0.4237288236618042,0.6779661178588867,0.6598904728889465,123.6137924194336,1.1820759773254395,175.2398223876953,1.6271185874938965,1,0.810169517993927,0.810169517993927,-0.3520320653915405,0,0.8474576473236084,2.0813558101654053,1.7462222576141357,0.9576271176338196
gaussian_noise_004_00,4,gaussian_noise,1,0.9999814033508301,0.08165454864501953,-0.0,0.9322034120559692,0.1525423675775528,0.6440678238868713,0.2711864411830902,1.9363887310028076,12.799988746643066,0.8730497360229492,267.78997802734375,1.6525424718856812,1,0.8372881412506104,0.8372881412506104,2.654304265975952,0,0.8983050584793091,2.232203483581543,1.4187734127044678,0.8559322357177734
time_shift_004_01,4,time_shift,1,0.994465708732605,0.08666449785232544,-0.0,0.508474588394165,0.1355932205915451,0.9661017060279846,0.8813559412956238,0.4224098026752472,0.0,4.801186032944715e-13,267.80322265625,1.5423728227615356,1,0.7423728704452515,0.7423728704452515,-0.9113330841064453,0,0.35593220591545105,1.8372881412506104,1.7282965183258057,0.9491525292396545
