aug_id,original_local_index,aug_type,label,e_embed_raw,e_proto_raw,e_pred_raw,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,d_band,d_cov_riemann,d_style,e_total,artifact_gate_pass,soft_weight_v1_1,softar_weight_v1_1,artifact_robust_z,extreme_artifact_outlier,content_score_v1_2,e_base_v1_2,e_total_v1_2,softsafe_weight_v1_2,content_score_v1_3,content_utility_weight_v1_3,nonfinite_content_v1_3,raw_ce_loss,aug_correctness
gaussian_noise_000_00,0,gaussian_noise,0,0.9999733567237854,-0.006898045539855957,-0.004293724894523621,0.508474588394165,0.694915235042572,0.694915235042572,0.033898305147886276,4.023782730102539,11.548955917358398,3.016772985458374,168.31045532226562,1.5508475303649902,0,0.7694915533065796,0.0,8.258382797241211,1,0.6440678238868713,2.038983106613159,1.0540506839752197,0.0,0.6440678238868713,1.0720338821411133,0,0.25045499205589294,1
time_shift_000_01,0,time_shift,0,0.9973644018173218,0.000896453857421875,-0.2024555653333664,0.10169491171836853,0.6610169410705566,1.0,0.4067796468734741,1.2063064575195312,0.0,1.955287494415092e-12,168.70606994628906,1.4322034120559692,1,0.6610169410705566,0.6610169410705566,0.6115482449531555,0,0.11864406615495682,1.6898305416107178,1.1886096000671387,0.7627118825912476,0.11864406615495682,0.8093220591545105,0,0.06281913071870804,1
time_crop_000_02,0,time_crop,0,0.9998483061790466,-0.007891356945037842,-0.0017657559365034103,0.4237288236618042,0.6440678238868713,0.508474588394165,0.32203391194343567,1.5981863737106323,88.32665252685547,1.4662915468215942,170.47323608398438,1.2542372941970825,1,0.5932203531265259,0.5932203531265259,1.6751385927200317,0,0.4237288236618042,1.6338982582092285,1.0800343751907349,0.7118644118309021,0.4237288236618042,0.9618644118309021,0,0.2682587802410126,1
frequency_mask_000_03,0,frequency_mask,0,0.9977400898933411,0.010068833827972412,-0.6786249279975891,0.1355932205915451,0.6779661178588867,0.5593220591545105,0.6271186470985413,0.8672413229942322,56.1844596862793,1.5419516563415527,168.54830932617188,1.0338983535766602,1,0.4440677762031555,0.4440677762031555,-0.30869895219802856,0,0.18644067645072937,1.3728814125061035,1.1169204711914062,0.7288135290145874,0.18644067645072937,0.8432203531265259,0,0.008442775346338749,1
channel_dropout_000_04,0,channel_dropout,0,0.9987848997116089,0.005178093910217285,-0.4682326912879944,0.16949152946472168,0.2542372941970825,0.06779661029577255,0.4237288236618042,1.1719026565551758,519.8173217773438,16.403141021728516,216.7504119873047,0.3644067943096161,1,0.24067796766757965,0.24067796766757965,0.51817387342453,0,0.20338982343673706,0.8389830589294434,0.5972421765327454,0.5254237055778503,0.20338982343673706,0.8516949415206909,0,0.019635329023003578,1
mild_frequency_mixup_000_05,0,mild_frequency_mixup,0,0.9997843503952026,-0.006164610385894775,-0.006132565438747406,0.33898305892944336,0.38983049988746643,0.4576271176338196,0.5254237055778503,0.9304129481315613,178.55355834960938,1.1000428199768066,196.11038208007812,0.991525411605835,1,0.4033898413181305,0.4033898413181305,-0.13724660873413086,0,0.35593220591545105,1.4050847291946411,1.0716748237609863,0.7033898234367371,0.35593220591545105,0.9279661178588867,0,0.24111828207969666,1
gaussian_noise_001_00,1,gaussian_noise,1,0.9998616576194763,0.05606091022491455,-0.00035599933471530676,0.7966101765632629,0.8305084705352783,0.7796609997749329,0.08474576473236084,3.69396710395813,10.350818634033203,3.3150601387023926,165.87313842773438,1.991525411605835,0,0.9728813767433167,0.0,7.363238334655762,1,0.8474576473236084,2.469491720199585,1.3393853902816772,0.0,0.8474576473236084,1.1737288236618042,0,0.003934723325073719,1
time_shift_001_01,1,time_shift,1,0.9935535192489624,0.05728340148925781,-0.008033796213567257,0.2711864411830902,0.7966101765632629,0.8983050584793091,0.4576271176338196,1.0367454290390015,0.0,4.220205782057285e-12,166.0548858642578,1.5677965879440308,1,0.7830508947372437,0.7830508947372437,0.15134741365909576,0,0.3050847351551056,1.9169491529464722,1.397098422050476,0.8559322357177734,0.3050847351551056,0.9025423526763916,0,3.039883085875772e-05,1
time_crop_001_02,1,time_crop,1,0.9997569918632507,0.060210585594177246,-0.00015787227312102914,0.7457627058029175,0.7288135886192322,0.3050847351551056,0.2542372941970825,1.7756086587905884,239.81817626953125,1.7196000814437866,167.38784790039062,1.4152542352676392,1,0.6474576592445374,0.6474576592445374,2.1566755771636963,0,0.7627118825912476,1.8288135528564453,1.1468831300735474,0.7372881174087524,0.7627118825912476,1.1313560009002686,0,0.0016174277989193797,1
frequency_mask_001_03,1,frequency_mask,1,0.9979830384254456,0.06524372100830078,-0.002276526764035225,0.49152541160583496,0.16949152946472168,0.016949152573943138,0.7627118825912476,0.7655169367790222,609.6131591796875,2.6536002159118652,226.38427734375,0.5932203531265259,1,0.29491525888442993,0.29491525888442993,-0.5847862958908081,0,0.5762711763381958,1.1186439990997314,0.9859235286712646,0.6610169410705566,0.5762711763381958,1.0381355285644531,0,0.00039817867218516767,1
